num_voters,num_projects,version,setup,predictor,sample_degree,lv_degree,seed,k,num_tv,precision,recall,f1,fractional_allocation,symmetric_distance,pipeline_runtime,runtime
100,120,before,offline_popularity,classification,0.5,0.5,2,40,75,0.7118375042879094,0.6593203324408801,0.679644305068023,0.9563189730802973,5,28.59893590899992,28.643236457000057
100,120,after,offline_popularity,classification,0.5,0.5,0,40,75,0.6895160340549918,0.6671557735887681,0.6737445283848544,0.9612485504445304,3,7.170052288000079,7.2130054180001935
100,120,after,offline_popularity,classification,0.5,0.5,1,40,75,0.6992899848552163,0.6492955350784708,0.6699361163142783,0.929175731206188,7,14.171844511000018,14.20512417000009
100,120,after,offline_popularity,classification,0.5,0.5,2,40,75,0.7105355977019818,0.6620510846541399,0.6810972497133566,0.9414969755737175,6,6.598249274999944,6.625719547000244
100,160,before,offline_popularity,classification,0.5,0.5,0,53,75,0.6933602800183108,0.6620159602376925,0.6752307723536545,0.9456934202047684,5,27.041002518999903,27.075383468000382
100,160,before,offline_popularity,classification,0.5,0.5,1,53,75,0.6723419234059471,0.641625974686476,0.6544526460313217,0.8589808093150291,13,27.625953109999955,27.806759101999887
100,160,before,offline_popularity,classification,0.5,0.5,2,53,75,0.6960315405797532,0.660197650755075,0.6754809999884427,0.9320558100500053,6,51.05587775499998,51.134689713999705
100,160,after,offline_popularity,classification,0.5,0.5,0,53,75,0.688537475675785,0.6613868253364465,0.6722562665588299,0.9456934202047684,5,11.957522862000133,12.007857219000016
100,160,after,offline_popularity,classification,0.5,0.5,1,53,75,0.6641441723804543,0.6439810557950124,0.6515829154614451,0.8556386113706606,14,11.64462261799963,11.685470237999652
100,160,after,offline_popularity,classification,0.5,0.5,2,53,75,0.6960555262154365,0.6516122696982255,0.6703492540632272,0.8977864810994161,10,13.982705677000013,14.029159362999962
100,240,before,offline_popularity,classification,0.5,0.5,0,80,75,0.7198895774190177,0.6560694373413997,0.6842980218857406,0.927680612143496,14,61.26592030699976,61.38688874199988
100,240,after,offline_popularity,classification,0.5,0.5,0,80,75,0.7199538664990512,0.6543439339386279,0.6831626985419222,0.927680612143496,15,19.13910332999967,19.21843173599973
100,240,after,offline_popularity,classification,0.5,0.5,1,80,75,0.6754558380680717,0.6224953566924369,0.6453815931441362,0.8750484871993793,18,18.212092992999715,18.2670227120002
100,240,after,offline_popularity,classification,0.5,0.5,2,80,75,0.7326828207872699,0.6409466429556243,0.6817897362358896,0.9374016909162407,11,11.43592139700013,11.491771497000173
